"crop","sum","fertilizer","candidate_name","party","evm_votes"
"Peas & beans (Pulses)","494","48807.2","VALASAPALLI UTAPPA","Independent",2152
"Peas & beans (Pulses)","494","48807.2","VALMIKI KRISHNAPPA","Bahujan Samaj Party",5901
"Peas & beans (Pulses)","494","48807.2","VASANTH KUMAR ERAPPA","Independent",439
"Peas & beans (Pulses)","494","48807.2","VASIST J","Country Citizen Party",546
"Peas & beans (Pulses)","494","48807.2","VATAL NAGARAJ","Kannada Chalavali Vatal Paksha",1857
"Peas & beans (Pulses)","494","48807.2","VEERESH","Independent",1862
"Peas & beans (Pulses)","494","48807.2","VEERESH.S (LION VEERESH)","Rani Chennamma Party",457
"Peas & beans (Pulses)","494","48807.2","VENKATARAMANE GOWDA (STAR CHANDRU)","Indian National Congress",564778
"Peas & beans (Pulses)","494","48807.2","VENKATESH PRASAD. H","Indian Labour Party (Ambedkar Phule)",334
"Peas & beans (Pulses)","494","48807.2","VENKATESHMURTHY.V","Uttama Prajaakeeya Party",2015
"Peas & beans (Pulses)","494","48807.2","VIJAY JADHAV","Karnataka Rashtra Samithi",555
"Peas & beans (Pulses)","494","48807.2","VIJAY KUMAR M. G","Independent",943
"Peas & beans (Pulses)","494","48807.2","VIJAY S METHRANI","Independent",2804
"Peas & beans (Pulses)","494","48807.2","VILAS MANNUR","Independent",4143
"Peas & beans (Pulses)","494","48807.2","VINAYAK NAIK","Karnataka Rashtra Samithi",1230
"Peas & beans (Pulses)","494","48807.2","VINOD ASOOTI","Indian National Congress",617616
"Peas & beans (Pulses)","494","48807.2","VINOD DASHARATH GHODKE","Proutist Bloc, India",409
"Peas & beans (Pulses)","494","48807.2","VISHWANATH SHEERI","Ekam Sanatan Bharat Dal",401
"Peas & beans (Pulses)","494","48807.2","VISHWESHWAR HEGDE KAGERI","Bharatiya Janata Party",777887
"Peas & beans (Pulses)","494","48807.2","WASEEMUDDIN","Independent",1169
"Peas & beans (Pulses)","494","48807.2","WHITEFIELD MURUGESH .C","Republican Party of India (Karnataka)",376
"Peas & beans (Pulses)","494","48807.2","Y.R.KALLESHWARI","Samajwadi Janata Party(Karnataka)",1072
"Peas & beans (Pulses)","494","48807.2","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","Bharatiya Janata Party",790391
"Peas & beans (Pulses)","494","48807.2","YALLAMMA DALAPATHI","Independent",3629
"Peas & beans (Pulses)","494","48807.2","YALLAPPA.","Independent",158
"Peas & beans (Pulses)","494","48807.2","YASIN SHIRAJUDDIN PATAKI","Independent",1279
"Tapioca","464","47388.32",NULL,NULL,NULL
"Black pepper","480","47121.6","ADV VISHAL NAIK","Independent",744
"Black pepper","480","47121.6","ALEXY FERNANDES","Independent",526
"Black pepper","480","47121.6","CAPTAIN  VIRIATO FERNANDES","Indian National Congress",216022
"Black pepper","480","47121.6","DEEPKUMAR D MAPARI","Independent",1309
"Black pepper","480","47121.6","DR KALIDAS VAINGANKAR","Independent",707
"Black pepper","480","47121.6","DR SWETA GAONKAR","Bahujan Samaj Party",1545
"Black pepper","480","47121.6","HARISHCHANDRA SUDHAKAR NAIK","Corruption Abolition Party",487
"Black pepper","480","47121.6","MILAN R VAINGANKAR","Bahujan Samaj Party",1600
"Black pepper","480","47121.6","MR SAKHARAM NAIK","Akhil Bhartiya Parivar Party",1404
"Black pepper","480","47121.6","NOTA","None of the Above",4804
"Black pepper","480","47121.6","NOTA","None of the Above",6297
"Black pepper","480","47121.6","PALLAVI SHRINIVAS DEMPO","Bharatiya Janata Party",201806
"Black pepper","480","47121.6","RAMAKANT KHALAP","Indian National Congress",140191
"Black pepper","480","47121.6","RUBERT PEREIRA","Revolutionary Goans Party",18718
"Black pepper","480","47121.6","SHAKEEL JAMAL SHAIKH","Independent",800
"Black pepper","480","47121.6","SHRIPAD YESSO NAIK","Bharatiya Janata Party",253812
"Black pepper","480","47121.6","THOMAS AUGUSTINE FERNANDES","Independent",746
"Black pepper","480","47121.6","TUKARAM BHARAT PARAB","Revolutionary Goans Party",45460
"Gram","463","45744.4","AGATHA K SANGMA","National People's Party",227210
"Gram","463","45744.4","DR. MAZEL AMPAREEN LYNGDOH","National People's Party",185531
"Gram","463","45744.4","DR. RICKY ANDREW J. SYNGKON","Voice of the People Party",569156
"Gram","463","45744.4","LABENN CH MARAK","Independent",6846
"Gram","463","45744.4","NOTA","None of the Above",5809
"Gram","463","45744.4","NOTA","None of the Above",10944
"Gram","463","45744.4","PETER SHALLAM","Independent",6975
"Gram","463","45744.4","PROF. LAKHON KMA","Independent",18522
"Gram","463","45744.4","ROBERTJUNE KHARJAHRIN","United Democratic Party",44278
"Gram","463","45744.4","SALENG A SANGMA","Indian National Congress",382058
"Gram","463","45744.4","VINCENT H. PALA","Indian National Congress",198045
"Gram","463","45744.4","ZENITH M SANGMA","All India Trinamool Congress",48518
"Gram","463","45452.71","AGATHA K SANGMA","National People's Party",227210
"Gram","463","45452.71","DR. MAZEL AMPAREEN LYNGDOH","National People's Party",185531
"Gram","463","45452.71","DR. RICKY ANDREW J. SYNGKON","Voice of the People Party",569156
"Gram","463","45452.71","LABENN CH MARAK","Independent",6846
"Gram","463","45452.71","NOTA","None of the Above",5809
"Gram","463","45452.71","NOTA","None of the Above",10944
"Gram","463","45452.71","PETER SHALLAM","Independent",6975
"Gram","463","45452.71","PROF. LAKHON KMA","Independent",18522
"Gram","463","45452.71","ROBERTJUNE KHARJAHRIN","United Democratic Party",44278
"Gram","463","45452.71","SALENG A SANGMA","Indian National Congress",382058
"Gram","463","45452.71","VINCENT H. PALA","Indian National Congress",198045
"Gram","463","45452.71","ZENITH M SANGMA","All India Trinamool Congress",48518
"Jowar","463","45452.71","A VIJAYARAGHAVAN","Communist Party of India  (Marxist)",342798
"Jowar","463","45452.71","A. M ARIFF","Communist Party of India  (Marxist)",335596
"Jowar","463","45452.71","ABDUL KAREEM K. S/O ASSAIN","Independent",257
"Jowar","463","45452.71","ABDUL KAREEM S/O AYAMMATH KUTTY","Independent",285
"Jowar","463","45452.71","ABDUL KAREEM S/O MAHAMMOOD","Independent",536
"Jowar","463","45452.71","ABDULSALAM S/O MUHAMMED HAJI","Independent",771
"Jowar","463","45452.71","ABDUSSAMED MALAYAMPALLI","Independent",1634
"Jowar","463","45452.71","ADV ADOOR PRAKASH","Indian National Congress",323273
"Jowar","463","45452.71","ADV ARUN KUMAR C A","Communist Party of India",352708
"Jowar","463","45452.71","ADV CHARLY PAUL","Twenty 20 Party",105020
"Jowar","463","45452.71","ADV K FRANCIS GEORGE","Kerala Congress",358369
"Jowar","463","45452.71","ADV P K NARAYANAN","Bahujan Samaj Party",1985
"Jowar","463","45452.71","ADV RAJENDRAN","Bahujan Samaj Party",2315
"Jowar","463","45452.71","ADV SHINE LAL M P","Independent",1446
"Jowar","463","45452.71","ADV V S SUNILKUMAR","Communist Party of India",334462
"Jowar","463","45452.71","ADV. ANTONY JUDY","Twenty 20 Party",39658
"Jowar","463","45452.71","ADV. DEAN KURIAKOSE","Indian National Congress",427129
"Jowar","463","45452.71","ADV. JOICE GEORGE","Communist Party of India  (Marxist)",295975
"Jowar","463","45452.71","ADV. NIVEDIDA","Bharatiya Janata Party",123733
"Jowar","463","45452.71","ADV. RUSSEL JOY","Bahujan Samaj Party",4397
"Jowar","463","45452.71","ADV. SANGEETHA VISWANATHAN","Bharath Dharma Jana Sena",90663
"Jowar","463","45452.71","ADV.HARIKUMAR M.K.","Ambedkarite Party of India",735
"Jowar","463","45452.71","ADV.K.M SHAJAHAN","Independent",627
"Jowar","463","45452.71","ADV.P.K.GEETHAKRISHNAN","Bahujan Samaj Party",3918
"Jowar","463","45452.71","AJEEB MUHAMMED","Independent",796
"Jowar","463","45452.71","ANEESH PAYYANNUR","Independent",744
"Jowar","463","45452.71","ANIL K.ANTONY","Bharatiya Janata Party",231172
"Jowar","463","45452.71","ANNA KURIAKOSE","Independent",1416
"Jowar","463","45452.71","ANNIE RAJA","Communist Party of India",280594
"Jowar","463","45452.71","ANOOP V.","Independent",557
"Jowar","463","45452.71","ANTO ANTONY","Indian National Congress",360957
"Jowar","463","45452.71","ARAMUKHAN","Bahujan Samaj Party",1684
"Jowar","463","45452.71","ARAVINDAKSHAN NAIR M. K.","Bharatheeya Jawan Kisan Party",1290
"Jowar","463","45452.71","ARJUNAN","Socialist Unity Centre Of India (COMMUNIST)",1301
"Jowar","463","45452.71","ARUN EDATHADAN","Independent",662
"Jowar","463","45452.71","BAIJU KALASALA","Bharath Dharma Jana Sena",140830
"Jowar","463","45452.71","BALAKRISHNAN N","Independent",594
"Jowar","463","45452.71","BENNY BEHANAN","Indian National Congress",390216
"Jowar","463","45452.71","BINDHU W/O DEVARAJAN","Independent",826
"Jowar","463","45452.71","BOSCO KALAMASSERY","Independent",1071
"Jowar","463","45452.71","BRAHMAKUMAR","Socialist Unity Centre Of India (COMMUNIST)",409
"Jowar","463","45452.71","BRO NOUSHAD  SHERIFF J","Independent",545
"Jowar","463","45452.71","C KRISHNAKUMAR","Bharatiya Janata Party",249568
"Jowar","463","45452.71","C MONICHEN","Independent",4893
"Jowar","463","45452.71","C RAJAMANICKAM","Independent",516
"Jowar","463","45452.71","C. BALAKRISHNAN YADAV","Independent",279
"Jowar","463","45452.71","C. RAGHUNATH","Bharatiya Janata Party",118352
"Jowar","463","45452.71","CHALAI MOHANAN","Independent",396
"Jowar","463","45452.71","CHANDRABOSE P","Independent",1071
"Jowar","463","45452.71","CYRILL SKARIA","Independent",663
"Jowar","463","45452.71","DIVAKARAN PALLATH","New Labour Party",812
"Jowar","463","45452.71","DR M PRADEEPAN","Socialist Unity Centre Of India (COMMUNIST)",688
"Jowar","463","45452.71","DR T N SARASU","Bharatiya Janata Party",186441
"Jowar","463","45452.71","DR. ABDUL SALAM","Bharatiya Janata Party",84529
"Jowar","463","45452.71","DR. K. S. RADHAKRISHNAN","Bharatiya Janata Party",143573
"Jowar","463","45452.71","DR. M. JYOTHIRAJ","Socialist Unity Centre Of India (COMMUNIST)",641
"Jowar","463","45452.71","DR. M.P ABDUSSAMAD SAMADANI","Indian Union Muslim League",559570
"Jowar","463","45452.71","DR.T.M.THOMAS ISSAC","Communist Party of India  (Marxist)",297888
"Jowar","463","45452.71","E.T.  MOHAMMED BASHEER","Indian Union Muslim League",640269
"Jowar","463","45452.71","ELAMARAM KAREEM","Communist Party of India  (Marxist)",369884
"Jowar","463","45452.71","GOKULAM SURESH KUMAR","Independent",1369
"Jowar","463","45452.71","HAMSA S/O MOIDUTTY","Independent",952
"Jowar","463","45452.71","HAMZA KADAVANDI","Independent",707
"Jowar","463","45452.71","HARI ARUMBIL","Bahujan Samaj Party",2835
"Jowar","463","45452.71","HIBI EDEN","Indian National Congress",478989
"Jowar","463","45452.71","J J RUSSELL","Independent",1348
"Jowar","463","45452.71","JAYAKRISHNAN P","Independent",329
"Jowar","463","45452.71","JAYARAJ","Independent",478
"Jowar","463","45452.71","JAYARAJAN S/O. VELAYUDHAN","Independent",421
"Jowar","463","45452.71","JOEMON JOSEPH SRAMPICKAL A P J JUMAN V S","Independent",875
"Jowar","463","45452.71","JOHNSON K C","Independent",379
"Jowar","463","45452.71","JOMON JOHN","Independent",1764
"Jowar","463","45452.71","JOSE SARANATH","Ambedkarite Party of India",553
"Jowar","463","45452.71","JOSHI VILLADOM","Independent",460
"Jowar","463","45452.71","JOSSIN K JOSEPH","Independent",1397
"Jowar","463","45452.71","JOY JOHN PATTAR MADATHIL","Independent",616
"Jowar","463","45452.71","JOY P.MATHEW","People's Party of India(secular)",1173
"Jowar","463","45452.71","JYOTHI ABRAHAM","Independent",328
"Jowar","463","45452.71","K A UNNIKRISHNAN","Bharath Dharma Jana Sena",105706
"Jowar","463","45452.71","K BIMALJI","Socialist Unity Centre Of India (COMMUNIST)",1336
"Jowar","463","45452.71","K K SHAILAJA TEACHER","Communist Party of India  (Marxist)",437333
"Jowar","463","45452.71","K K SHYLAJA","Independent",1164
"Jowar","463","45452.71","K MURALEEDHARAN","Indian National Congress",324810
"Jowar","463","45452.71","K SURENDRAN","Bharatiya Janata Party",139868
"Jowar","463","45452.71","K T PADMINI","Bahujan Samaj Party",2102
"Jowar","463","45452.71","K. C VENUGOPAL","Indian National Congress",398246
"Jowar","463","45452.71","K. J. SHINE TEACHER","Communist Party of India  (Marxist)",230059
"Jowar","463","45452.71","K. SUDHAKARAN","Indian National Congress",512266
"Jowar","463","45452.71","K. SUDHAKARAN S/O. KRISHNAN","Independent",990
"Jowar","463","45452.71","K.C.THOMAS","Independent",1080
"Jowar","463","45452.71","K.RADHAKRISHNAN","Communist Party of India  (Marxist)",398818
"Jowar","463","45452.71","K.S HAMZA","Communist Party of India  (Marxist)",324562
"Jowar","463","45452.71","KODIKUNNIL SURESH","Indian National Congress",362209
"Jowar","463","45452.71","KOZHUVASSERIL SURESH","Independent",836
"Jowar","463","45452.71","KRISHNAKUMAR G","Bharatiya Janata Party",160956
"Jowar","463","45452.71","KRISHNANKUTTY KUNISSERY","Independent",2323
"Jowar","463","45452.71","KUNHIKANNAN PAYYOLI","Independent",867
"Jowar","463","45452.71","M M SCARIA","Independent",913
"Jowar","463","45452.71","M MUKESH","Communist Party of India  (Marxist)",288861
"Jowar","463","45452.71","M S JAFARGHAN","Independent",689
"Jowar","463","45452.71","M S SUBI","Independent",588
"Jowar","463","45452.71","M. K. RAGHAVAN","Indian National Congress",515608
"Jowar","463","45452.71","M. T. RAMESH","Bharatiya Janata Party",178692
"Jowar","463","45452.71","M.L ASHWINI","Bharatiya Janata Party",217996
"Jowar","463","45452.71","M.V BALAKRISHNAN MASTER","Communist Party of India  (Marxist)",385969
"Jowar","463","45452.71","M.V. JAYARAJAN","Communist Party of India  (Marxist)",402614
"Jowar","463","45452.71","MAN HOUSE MANMADHAN","Independent",403
"Jowar","463","45452.71","MANOHARAN K","Independent",777
"Jowar","463","45452.71","MANTHARA VELAYUDHAN","Independent",910
"Jowar","463","45452.71","MURALEEDHARAN KONCHERILLAM","Bahujan Samaj Party",1578
"Jowar","463","45452.71","MURALIDHARAN","Independent",261
"Jowar","463","45452.71","N JAYARAJAN","Independent",407
"Jowar","463","45452.71","N K PREMACHANDRAN","Revolutionary Socialist Party",437516
"Jowar","463","45452.71","N KESHAVA NAYAK","Independent",480
"Jowar","463","45452.71","N S K PURAM SASIKUMAR","Independent",1151
"Jowar","463","45452.71","N. RAGHAVAN S/O DAMU","Independent",753
"Jowar","463","45452.71","NANDAVANAM SUSEELAN","Independent",391
"Jowar","463","45452.71","NARAYANA KUMAR","Independent",263
"Jowar","463","45452.71","NASEEF ALI MULLAPPALLI","Independent",1154
"Jowar","463","45452.71","NOTA","None of the Above",2855
"Jowar","463","45452.71","NOTA","None of the Above",6046
"Jowar","463","45452.71","NOTA","None of the Above",6236
"Jowar","463","45452.71","NOTA","None of the Above",6437
"Jowar","463","45452.71","NOTA","None of the Above",6499
"Jowar","463","45452.71","NOTA","None of the Above",6650
"Jowar","463","45452.71","NOTA","None of the Above",6684
"Jowar","463","45452.71","NOTA","None of the Above",6932
"Jowar","463","45452.71","NOTA","None of the Above",7037
"Jowar","463","45452.71","NOTA","None of the Above",7252
"Jowar","463","45452.71","NOTA","None of the Above",7715
"Jowar","463","45452.71","NOTA","None of the Above",8021
"Jowar","463","45452.71","NOTA","None of the Above",8268
"Jowar","463","45452.71","NOTA","None of the Above",8718
"Jowar","463","45452.71","NOTA","None of the Above",8724
"Jowar","463","45452.71","NOTA","None of the Above",9468
"Jowar","463","45452.71","NOTA","None of the Above",9640
"Jowar","463","45452.71","NOTA","None of the Above",9681
"Jowar","463","45452.71","NOTA","None of the Above",11804
"Jowar","463","45452.71","NOTA","None of the Above",11918
"Jowar","463","45452.71","P KRISHNAMMAL","Marxist Communist Party of India (United)",537
"Jowar","463","45452.71","P O PETER","Samajwadi Jan Parishad",1581
"Jowar","463","45452.71","P RADHAKRISHNAN","Independent",555
"Jowar","463","45452.71","P.C. NARAYANAN","Bahujan Dravida Party",1304
"Jowar","463","45452.71","P.K. SAJEEVAN","Independent",1025
"Jowar","463","45452.71","P.R KRISHNANKUTTY","Bahujan Samaj Party",1946
"Jowar","463","45452.71","PANNIAN RAVINDRAN","Communist Party of India",244433
"Jowar","463","45452.71","PRADEEP KOTTARAKKARA","Bharatheeya Jawan Kisan Party",793
"Jowar","463","45452.71","PRAKASH P L","Independent",1762
"Jowar","463","45452.71","PRAKASH S","Independent",745
"Jowar","463","45452.71","PRAPHUL KRISHNAN","Bharatiya Janata Party",110701
"Jowar","463","45452.71","PRASEETHA AZHIKODE","Independent",814
"Jowar","463","45452.71","PRATHAPAN","Bahujan Dravida Party",414
"Jowar","463","45452.71","PRATHAPAN","Independent",685
"Jowar","463","45452.71","PREMACHANDRAN NAIR","Independent",1713
"Jowar","463","45452.71","PROF C RAVEENDRANATH","Communist Party of India  (Marxist)",327382
"Jowar","463","45452.71","RAGHAVAN S/O NARAYANAN NAIR","Independent",1057
"Jowar","463","45452.71","RAHUL GANDHI","Indian National Congress",642299
"Jowar","463","45452.71","RAJEEV CHANDRASEKHAR","Bharatiya Janata Party",337920
"Jowar","463","45452.71","RAJESH K SON OF VELANKUTTY","Independent",1033
"Jowar","463","45452.71","RAJESH M SON OF MANI C","Independent",947
"Jowar","463","45452.71","RAJESWARI K.R","Independent",886
"Jowar","463","45452.71","RAJMOHAN UNNITHAN","Indian National Congress",487637
"Jowar","463","45452.71","RAMACHANDRAN BAVILEERI","Bharatheeya Jawan Kisan Party",2606
"Jowar","463","45452.71","RAMYA HARIDAS","Indian National Congress",379231
"Jowar","463","45452.71","ROBY MATTAPPALLY","Independent",697
"Jowar","463","45452.71","ROHIT KRISHNAN","Independent",408
"Jowar","463","45452.71","ROSILIN CHACKO","Bahujan Samaj Party",2377
"Jowar","463","45452.71","S MINI","Socialist Unity Centre Of India (COMMUNIST)",1098
"Jowar","463","45452.71","SAJI @ SHAJI","Viduthalai Chiruthaigal Katchi",1493
"Jowar","463","45452.71","SANDEEP RAJENDRAPRASAD","Independent",734
"Jowar","463","45452.71","SANTHOSH K","Independent",1146
"Jowar","463","45452.71","SANTHOSH PALATHUMPADAN","Bahujan Samaj Party",4183
"Jowar","463","45452.71","SANTHOSH PULICKAL","Independent",686
"Jowar","463","45452.71","SASI KONGAPALLY","Independent",228
"Jowar","463","45452.71","SATHEESH SHENOI","Independent",473
"Jowar","463","45452.71","SATHYAN K.P","Independent",1017
"Jowar","463","45452.71","SHAFI","Independent",399
"Jowar","463","45452.71","SHAFI PARAMBIL","Indian National Congress",552490
